island,habitat,S,spdiv,funcdiv
SC,arid,6,3.9225087009020525,0.004948120665889688
SN,humid,2,1.9683717297930496,0.0011703382974135603
CA,humid,3,2.7310924369747895,0.0018563000467351903
SC,humid,8,7.975809199318567,0.00270719434108641
SL,humid,2,1.997624703087886,0.0012715205829522862
SA,humid,3,2.9512195121951215,0.001056513941994905
FL,arid,4,3.077609062424681,0.005273973350726141
SF,humid,1,1,8.244267938063998e-4
ES,humid,1,1,9.411072155398786e-4
SL,arid,4,3.549800796812749,0.003150824262300797
PI,humid,1,1,0.0012602012548085322
WF,humid,1,1,0.004097881677841904
AL,humid,3,2.881799470743899,0.0017095259936611765
SA,arid,2,1.9986859395532195,0.0013625216070113635
DA,humid,1,1,6.71235464017513e-4
PI,arid,2,1.975609756097561,0.001370273004538969
FL,humid,3,2.5020678246484707,0.004301711856428479
ED,arid,1,1,7.917152660703817e-4
FA,humid,2,1.9898477157360408,7.729999804410163e-4
CH,arid,1,1,8.841445139455344e-4
GA,arid,1,1,0.0012092350581225733
ES,arid,1,1,9.375671410088712e-4
SF,arid,1,1,0.006080398197188879
